CAR_CHC_ID,Reference_Number,Adv_Name_E,Program,Dept_Code,Class_Group,Class_Lvl,Appl_Submitted,url
1004847,RCM17J-014978-000096,HR Planning Analyst,INT,RCM,AS,02,31,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004847
1004856,DOE17J-014514-000211,Physical Science Officer,INT,DOE,PC,02,10,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004856
1004898,PEN17J-017539-000018,Senior Conflict Management and Values & Ethics Consultant,INT,PEN,AS,06,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004898
1004918,BSF17J-015138-001111,Interested in an International Assignment as a CBSA Liaison Officer?,INT,BSF,FB,06,27,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004918
1004920,DOE17J-014514-000212,Physical Science Officer,INT,DOE,PC,02,16,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004920
1004942,RCM17J-017871-000020,Detachment Services Assistant,INT,RCM,CR,05,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004942
1004967,MOT17J-015675-000220,Technical Training Specialist,JOP,MOT,ED,03,45,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004967
1004987,SHC17J-014590-000161,Communications Advisor - AMENDMENT TO CLOSING DATE,INT,SHC,IS,05,16,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004987
1004996,SVC17J-017115-000186,Communications Advisor,INT,SVC,IS,03,5,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004996
1004998,RCM17J-017029-000139,Transcription Services & Client Support,INT,RCM,AS,02,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004998
1005012,STC17J-011131-000201,Management Services Officer,INT,STC,AS,02,9,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005012
1005013,RCM17J-017029-000140,Transcription Services & Client Support,JOP,RCM,AS,02,73,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005013
1005020,DOE17J-015620-000150,Junior Meteorologist,INT,DOE,MT,03,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005020
1005092,CSD17J-018225-000006,Senior Analyst (3 streams),INT,CSD,AS,05,15,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005092
1005099,IAN17J-015281-000058,"Director, Aboriginal Arts Centre",JOP,IAN,PM,06,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005099
1005124,PCH17J-018282-000017,Senior Program Officer,INT,PCH,PM,05,38,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005124
1005133,CSD17J-014629-000281,Assistant Manager,INT,CSD,PM,03,43,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005133
1005178,RSN17J-013777-000217,Research Engineer,JOP,RSN,EN,03,46,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005178
1005181,IAN17J-017356-000059,Senior Assistant Deputy Minister,INT,IAN,EX,05,5,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005181
1005217,TBD17J-014677-002201,Expert Advisor *MODIFICATION TO THE CLOSING DATE*,JOP,TBD,EC,08,20,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005217
1005218,SVC17J-013145-000202,Administrative Assistant,INT,SVC,AS,01,44,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005218
1005230,NPB17J-016366-000057,Procurement Officer,INT,NPB,PG,02,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005230
1005247,SVC17J-017115-000188,Communications Advisor,JOP,SVC,IS,03,33,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005247
1005259,SVC17J-017367-000067,Senior Real Estate Advisor,JOP,SVC,AS,06,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005259
1005261,SVC17J-017677-000137,Various positions (Collective process),INT,SVC,AS,05,121,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005261
1005265,MOT17J-016226-000117,Communications Assistant,JOP,MOT,IS,02,100,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005265
1005268,IMC17J-017208-000029,"Director General, Financial Management",INT,IMC,EX,03,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005268
1005301,AGR17J-018162-000022,Student in soil sciences,RAP,AGR,nil,nil,10,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005301
1005354,SHC17J-013467-000075,Executive Assistant/Administrative Officer,INT,SHC,AS,02,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005354
1005356,PPD17J-016791-000043,Counsel,JOP,PPD,LP,02,34,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005356
1005367,IAN17J-016468-000166,Regional Program Development Advisor - Various Positions (Anticipatory),JOP,IAN,PM,05,108,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005367
1005378,DND17J-008700-000132,Salad Prep/ Short Order Cook,JOP,DND,GS,03,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005378
1005408,DND17J-014668-000116,Fire prevention Inspector,JOP,DND,FR,02,94,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005408
1005421,TBD17J-014677-002204,"Manager, Operations - ANTICIPATORY",INT,TBD,AS,07,28,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005421
1005433,DFO17J-017614-000198,Seaman/Public Safety Diving Trainee,JOP,DFO,SC,02,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005433
1005448,PCH17J-016485-000021,"Manager, Policy and Research",INT,PCH,EC,07,35,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005448
1005460,DND17J-016841-000042,*Amendment to closing date* ANTICIPATORY - Senior Investigator,INT,DND,AS,06,45,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005460
1005472,IAN17J-015281-000059,Communications Officer *ANTICIPATORY* **AMENDMENT TO THE CLOSING DATE**,JOP,IAN,IS,03,182,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005472
1005481,DND17J-016864-000185,"Head, Project Support Workshop",INT,DND,EG,07,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005481
1005487,DUS17J-017779-000040,"Programmer Analyst, Application Development **MODIFICATION - CLOSING DATE**",INT,DUS,CS,02,15,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005487
1005506,AGR17J-016459-000401,Sector Specialist - Dairy,INT,AGR,CO,02,10,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005506
1005513,DFO17J-018254-000003,Workforce Development Analyst,INT,DFO,AS,04,44,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005513
1005528,TSB17J-011170-000041,Editor,JOP,TSB,IS,03,56,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005528
1005553,DOE17J-017618-000145,Policy Analyst/Advisor,INT,DOE,EC,07,73,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005553
1005555,SHC17J-015944-000129,Personnel Security Screening Officer,INT,SHC,AS,01,104,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005555
1005570,PCH17J-016485-000022,"Manager, Legislative and Regulatory Policy/Legislative and Parliamentary Issues",INT,PCH,EC,07,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005570
1005578,RSN17J-013780-000031,Marine Geoscience Technologist,JOP,RSN,EG,04,43,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005578
1005579,CSD17J-016686-000329,Team Leader **AMENDMENT TO THE CLOSING DATE**,INT,CSD,PM,03,376,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005579
1005580,DFO17J-017614-000199,Crewing Officer,INT,DFO,AS,03,10,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005580
1005583,DFO17J-011754-000011,Welder,JOP,DFO,GL,10,39,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005583
1005591,GSS17J-013347-000210,"Team Lead, Strategic Policy",INT,GSS,EC,06,40,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005591
1005618,SHC17J-009466-000643,"Senior Policy Advisor / Manager, Policy Development - ANTICIPATORY",INT,SHC,EC,07,112,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005618
1005642,RSN17J-013761-000185,Human Resources Assistant (Anticipatory),INT,RSN,CR,05,49,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005642
1005645,EXT17J-015451-000099,"*EXTENSION - CLOSING DATE* Transfer Payments (stream 1), Contracting (stream 2) - Vario",INT,EXT,PG,05,71,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005645
1005651,DFO17J-018212-000003,"Programmer Analyst, Application Development (ANTICIPATORY) *AMENDMENT TO CLOSING DATE*",JOP,DFO,CS,02,90,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005651
1005671,RCM17J-011498-000185,Executive Services Assistant,INT,RCM,AS,01,10,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005671
1005681,DUS17J-018176-000027,Spectrum Management Officer-in-Training,JOP,DUS,EL,01,78,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005681
1005686,MOT17J-018186-000015,MANAGER OPERATIONS QUALITY ASSURANCE,INT,MOT,AO,04,4,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005686
1005699,MOT17J-014482-000140,"Civil Aviation Safety Inspector, Cabin Safety/Aviation Occupational Health and Safety",JOP,MOT,TI,06,20,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005699
1005708,DUS17J-017779-000041,"Analyst, Service Management - Anticipatory",INT,DUS,CS,02,42,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005708
1005731,MOT17J-014993-000041,Safety Management Systems Inspector *AMENDMENT TO CLOSING DATE*,INT,MOT,TI,06,34,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005731
1005745,HRC17J-017982-000038,"Senior Communications Advisor, Web and Digital publishing et Design",INT,HRC,IS,05,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005745
1005764,GSS17J-012842-000416,Senior Conflict Resolution Advisor,JOP,GSS,PE,04,52,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005764
1005774,PCO17J-018168-000008,Issues Ninja and Master Storyteller,INT,PCO,IS,06,115,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005774
1005794,DOE17J-017618-000146,Administrative Officer,INT,DOE,AS,01,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1005794
