var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
0,1,67.56081529,61.66309076,74.02262369,CR,ANY,ANY,ANY,ANY
0,1,50.70646215,46.12570554,55.74213498,CS,ANY,ANY,ANY,ANY
0,1,100.375209,71.31653215,141.2741516,CX,ANY,ANY,ANY,ANY
0,1,64.21293633,60.08433355,68.62522971,EC,ANY,ANY,ANY,ANY
0,1,37.31708662,24.72831525,56.31459077,ED,ANY,ANY,ANY,ANY
0,1,31.34933351,27.96323229,35.14546176,EG,ANY,ANY,ANY,ANY
0,1,28.49209783,20.51011344,39.58045581,EL,ANY,ANY,ANY,ANY
0,1,30.31966644,25.45171629,36.11867124,EN,ANY,ANY,ANY,ANY
0,1,53.78014598,48.89976758,59.14760426,EX,ANY,ANY,ANY,ANY
0,1,107.4906572,83.39385378,138.550275,FB,ANY,ANY,ANY,ANY
0,1,75.37360826,66.98319768,84.81501361,FI,ANY,ANY,ANY,ANY
0,1,18.34170807,12.19808638,27.57959277,FR,ANY,ANY,ANY,ANY
0,1,194,60.05896024,626.6508753,FS,ANY,ANY,ANY,ANY
0,1,16.35574161,14.15079827,18.90425391,GL,ANY,ANY,ANY,ANY
0,1,24.9978234,20.59991978,30.33464119,GS,ANY,ANY,ANY,ANY
0,1,26.47275749,22.54255971,31.08816826,GT,ANY,ANY,ANY,ANY
0,1,39.90536019,35.40456209,44.97832137,IS,ANY,ANY,ANY,ANY
0,1,24.64272687,12.65266773,47.99493675,LC,ANY,ANY,ANY,ANY
0,1,31.76330104,26.30125811,38.35965902,LP,ANY,ANY,ANY,ANY
0,1,32.93797068,18.08365682,59.99394499,MA,ANY,ANY,ANY,ANY
0,1,15.51349656,9.866051944,24.39360515,MT,ANY,ANY,ANY,ANY
0,1,77.9147468,71.8625107,84.47670015,Multi,ANY,ANY,ANY,ANY
0,1,14.35619659,11.63047936,17.72071246,NU,ANY,ANY,ANY,ANY
0,1,18.04778395,7.696160697,42.32272664,OM,ANY,ANY,ANY,ANY
0,1,43.37550304,37.37581,50.33828735,PC,ANY,ANY,ANY,ANY
0,1,41.08379004,37.36879235,45.16811216,PE,ANY,ANY,ANY,ANY
0,1,48.53603144,42.41892648,55.5352656,PG,ANY,ANY,ANY,ANY
0,1,77.22023204,72.23085381,82.55425377,PM,ANY,ANY,ANY,ANY
0,1,26.55041583,18.66344151,37.77034265,PO,ANY,ANY,ANY,ANY
0,1,5.045439343,2.985239469,8.527442579,PS,ANY,ANY,ANY,ANY
0,1,34.22758682,26.54366472,44.13586865,RE,ANY,ANY,ANY,ANY
0,1,36.32477815,18.36694192,71.84045737,RO,ANY,ANY,ANY,ANY
0,1,16.73042391,10.21049552,27.4136631,SC,ANY,ANY,ANY,ANY
0,1,19.93844948,17.70322741,22.45589226,SE,ANY,ANY,ANY,ANY
0,1,49.54605654,34.4859031,71.18304866,SG,ANY,ANY,ANY,ANY
0,1,16.03229209,11.54384125,22.26593245,SO,ANY,ANY,ANY,ANY
0,1,15.74150797,9.532620916,25.99443275,SR,ANY,ANY,ANY,ANY
0,1,31.65713619,24.77770083,40.44662089,TI,ANY,ANY,ANY,ANY
